


Prop0 Cog6 ok
demo

P-part  I-part  d-part  pwm-value     Encoder-count
429800  -600    100     800000  1486
429800  0       150     800000  1494
422800  -2000   -500    800000  1500
422100  -200    450     800000  1503
415800  -1800   -400    800000  1511
413000  -800    250     800000  1512
413000  0       200     800000  1518
404600  -2400   -600    800000  1522
404600  0       600     800000  1523
401800  -800    -200    800000  1528
400400  -400    100     800000  1528
402500  600     250     800000  1530
397600  -1400   -500    800000  1538
392000  -1600   -50     800000  1540
389200  -800    200     800000  1544
383600  -1600   -200    800000  1555
379400  -1200   100     800000  1566
373800  -1600   -100    800000  1566
372400  -400    300     800000  1569
369600  -800    -100    800000  1574
368900  -200    150     800000  1578
361900  -2000   -450    800000  1592
354900  -2000   0       800000  1594
352800  -600    350     800000  1598
348600  -1200   -150    800000  1610
343000  -1600   -100    800000  1612
339500  -1000   150     800000  1622
333200  -1800   -200    800000  1625
333200  0       450     800000  1628
328300  -1400   -350    800000  1632
326200  -600    200     800000  1642
319200  -2000   -350    800000  1644
317800  -400    400     800000  1649
314300  -1000   -150    800000  1653
308700  -1600   -150    800000  1659
304500  -1200   100     800000  1670
298900  -1600   -100    800000  1672
298200  -200    350     800000  1678
294000  -1200   -250    800000  1676
294000  0       300     800000  1686
284200  -2800   -700    800000  1700
280000  -1200   400     800000  1701
277200  -800    100     800000  1709
275800  -400    100     800000  1712
270200  -1600   -300    800000  1715
264600  -1600   0       800000  1726
262500  -600    250     800000  1728
260400  -600    0       800000  1730
259000  -400    50      800000  1734
253400  -1600   -300    800000  1746
244300  -2600   -250    800000  1754
244300  0       650     800000  1754
240800  -1000   -250    800000  1759
235200  -1600   -150    800000  1766
232400  -800    200     800000  1770
227500  -1400   -150    800000  1777
226800  -200    300     800000  1779
221900  -1400   -300    800000  1784
220500  -400    250     800000  1786
217000  -1000   -150    800000  1795
211400  -1600   -150    800000  1796
208600  -800    200     800000  1802
205800  -800    0       800000  1806
